"ID1","COUNTY/CNTY_CD","ROUTE_NAME","LOCATION","VENDOR_ID/CVG_VLM_ID","YEAR","FAADT","AADT","MONTH","FAWDT","AWDT","TYPE","LinkID_Tag","Updated LinkID","ID","Daily_Counts","Screenline","Cutline"
3578,"72","SR 1162","E OF SR 1102","7201547",2017,338,340,0,344,340,"GF","41420",41420,41420,340,,
3577,"91","E CHATHAM ST","E OF SR 1650 REEDY CREEK RD","9100627",2017,12255,12000,0,13887,14000,"CB","41418",41418,41418,14000,,
3576,"91","NC 54 (MAYNARD RD)","N OF SR 3081 CHAPEL HILL RD","9100908",2017,23227,23000,0,23641,24000,"CB","41417",41417,41417,24000,,
3575,"91","EAST ST","S OF CABARRUS ST","9100336",2017,3148,3100,0,3567,3600,"GF","41390",41390,41390,3600,,
3574,"91","BOYLAN AVE","N OF CABARRUS ST","9100596",2017,6912,6900,0,7035,7000,"CB","41378",41378,41378,7000,,
3573,"91","E MARTIN ST","E OF BLOODWORTH ST","9100480",2017,2559,2600,0,2605,2600,"CB","41364",41364,41364,2600,,
3572,"91","LENOIR ST","W OF BLOODWORTH ST","9100332",2017,1426,1400,0,1616,1600,"CB","41360",41360,41360,1600,,
3571,"91","BLOODWORTH ST","S OF SOUTH ST","9100334",2017,2258,2300,0,2559,2600,"CB","41359",41359,41359,2600,,
3570,"91","SOUTH ST","E OF BLOODWORTH ST","9100335",2017,1047,1000,0,1186,1200,"GF","41358",41358,41358,1200,,
3569,"91","EAST ST","N OF WORTH ST","9100581",2017,3710,3700,0,3776,3800,"GF","41357",41357,41357,3800,,
3568,"91","SR 4363 (ML KING JR BLVD)","W OF EAST ST","9100415",2017,21917,22000,0,22307,22000,"CB","41356",41356,41356,22000,,
3567,"91","EAST ST","S OF LENOIR ST","9100582",2017,4367,4400,0,4445,4400,"GF","41355",41355,41355,4400,,
3566,"91","US 70-401 (MCDOWELL ST)","N OF W LANE ST","9100361",2017,22776,23000,0,25808,26000,"CB","41351",41351,41351,26000,,
3565,"91","S BOYLAN AVE","S OF W HARGETT ST","9100595",2017,7837,7800,0,7977,8000,"CB","41333",41333,41333,8000,,
3564,"JOHNSTON","SR-1399","Between I-40 and NC 50","17-03463",,,,,,740,,,41322,41322,740,6,
3563,"50","SR 1320","W OF NC 50","5003422",2017,1353,1400,0,1377,1400,"GF","41316",41316,41316,1400,,
3562,"50","SR 1319","E OF SR 1309","5001660",2017,841,840,0,856,860,"CB","41311",41311,41311,860,,
3561,"50","SR 1319","W OF NC 50","5003424",2017,486,490,0,495,500,"CB","41308",41308,41308,500,,
3560,"50","SR 1319","S OF SR 1322","5001661",2017,355,360,0,361,360,"CB","41306",41306,41306,360,,
3559,"JOHNSTON","SR-1322","Between I-40 and SR 1327 (Langdon Rd.)","17-03462",,,,,,1100,,,41302,41302,1100,6,
3558,"50","SR 1322","E OF SR 1309","5003525",2017,1606,1600,0,1635,1600,"GF","41294",41294,41294,1600,,
3557,"91","SR 2731","W OF SR 2734","9104109",2017,535,540,0,545,550,"GF","41290",41290,41290,550,,
3556,"91","SR 1010 (TEN TEN RD)","W OF SR 2731 JORDAN RD","9103451",2017,7835,7800,0,7975,8000,"GF","41288",41288,41288,8000,,
3555,"91","SR 2731","S OF SR 1010","9100662",2017,2193,2200,0,2232,2200,"GF","41286",41286,41286,2200,,
3554,"42","SR 1537","W OF SR 1538","4201570",2017,379,380,0,386,390,"GF","41263",41263,41263,390,,
3553,"42","SR 1443","E OF US 401","4201528",2017,1200,1200,0,1221,1200,"GF","41256",41256,41256,1200,,
3552,"42","SR 1429","W OF US 401","4201585",2017,816,820,0,831,830,"GF","41252",41252,41252,830,,
3551,"18","US 64","W OF SR 1991","1803435",2017,16496,16000,0,16790,17000,"CB","41250",41250,41250,8500,,
3549,"18","SR 1944","S OF SR 1991","1803413",2017,601,600,0,612,610,"GF","41245",41245,41245,610,,
3548,"18","SR 1558","S OF SR 1549","1801591",2017,602,600,0,613,610,"GF","41242",41242,41242,610,,
3547,"18","SR 1557","W OF SR 1506","1801592",2017,507,510,0,516,520,"GF","41237",41237,41237,520,,
3546,"67","SR 1958","S OF NC 54","6701622",2017,1267,1300,0,1290,1300,"GF","41236",41236,41236,1300,,
3545,"67","SR 1956","S OF SR 1958","6703404",2017,811,810,0,825,830,"GF","41231",41231,41231,830,,
3544,"67","NC 54","E OF SR 1006","6700069",2017,10275,10000,0,10458,10000,"CB","41228",41228,41228,10000,,
3543,"67","SR 1005","W OF SR 1951","6701627",2017,2257,2300,0,2297,2300,"CB","41227",41227,41227,2300,,
3542,"67","SR 1952","N OF SR 1951","6701629",2017,1273,1300,0,1296,1300,"GF","41226",41226,41226,1300,,
3541,"67","SR 1953","W OF SR 1952","6701623",2017,1252,1300,0,1274,1300,"GF","41224",41224,41224,1300,,
3540,"67","SR 1006","S OF SR 1115","6709755",2017,1106,1100,0,1126,1100,"CB","41222",41222,41222,1100,,
3539,"67","SR 1146","W OF SR 1114","6704719",2017,1787,1800,0,1819,1800,"CB","41217",41217,41217,1800,,
3538,"67","SR 1139","S OF SR 1146","6704720",2017,445,450,0,453,450,"GF","41216",41216,41216,450,,
3537,"ORANGE","SR-1007","Between Hebron Church Rd and Yarborough Rd","17-14782",,,,,,4400,,,41214,41214,4400,,
3536,"67","SR 1139","E OF SR 1007","6701599",2017,425,430,0,433,430,"GF","41213",41213,41213,430,,
3535,"67","SR 1138","W OF SR 1114","6701598",2017,403,400,0,410,410,"GF","41202",41202,41202,410,,
3534,"JOHNSTON","NC-231","Between Flower Hill Rd and Bissette Rd","17-13058",,,,,,840,,,41195,41195,840,,
3533,"JOHNSTON","SR-1717","W  OF SR 1003","17-13045",,,,,,2500,,,41182,41182,2500,,
3532,"72","SR 1536","E OF SR 1566","7201600",2017,729,730,0,742,740,"GF","41169",41169,41169,740,,
3531,"38","SR 1316","S OF SR 1311","3801560",2017,325,330,0,331,330,"CB","41168",41168,41168,330,,
3530,"38","SR 1153","W OF SR 1004","3801588",2017,456,460,0,464,460,"GF","41159",41159,41159,460,,
3529,"38","SR 1138","S OF SR 1139","3809051",2017,1677,1700,0,1707,1700,"CB","41158",41158,41158,1700,,
3527,"91","US 64","FROM US 264 TO NC 39","9102455",2017,28747,29000,0,29259,29000,"CB","11460",41149,41149,14500,,
3526,"91","SR 2406","N OF SR 2337","9104220",2017,3909,3900,0,3979,4000,"CB","41147",41147,41147,4000,,
3525,"WAKE","SR-1942","Between Averette Rd and Gilcrest Farm Rd","17-14088",,,,,,1300,,,41140,41140,1300,,
3524,"91","SR 1945","N OF NC 98","9104352",2017,2881,2900,0,2932,2900,"GF","41138",41138,41138,2900,,
3523,"91","SR 1922","S OF SR 4526","9104318",2017,1920,1900,0,1954,2000,"GF","41130",41130,41130,2000,,
3522,"38","SR 1702","S OF NC 56","3801626",2017,1207,1200,0,1228,1200,"CB","41128",41128,41128,1200,,
3521,"38","SR 1725","S OF SR 1724","3801649",2017,727,730,0,740,740,"GF","41118",41118,41118,740,,
3520,"38","SR 1724","E OF SR 1725","3801648",2017,758,760,0,772,770,"CB","41114",41114,41114,770,,
3519,"38","SR 1724","W OF SR 1725","3801650",2017,507,510,0,516,520,"CB","41111",41111,41111,520,,
3518,"38","US 15","S OF NC 56","3800007",2017,6506,6500,0,7372,7400,"CB","41109",41109,41109,7400,,
3517,"38","SR 1724","E OF SR 1728","3801646",2017,1320,1300,0,1344,1300,"CB","41104",41104,41104,1300,,
3516,"38","SR 1724","S OF SR 1110","3801691",2017,1426,1400,0,1451,1500,"CB","41102",41102,41102,1500,,
3515,"38","NC 50","S OF SR 1736","3800037",2017,11583,12000,0,11789,12000,"CB","41100",41100,41100,12000,,
3514,"38","SR 1110","W OF SR 1724","3801687",2017,2309,2300,0,2350,2400,"GF","41099",41099,41099,2400,,
3513,"38","US 15","W OF SR 1109","3800005",2017,6768,6800,0,7669,7700,"CB","41087",41087,41087,7700,,
3512,"38","SR 1102","S OF SR 1105","3801653",2017,1044,1000,0,1063,1100,"GF","41084",41084,41084,1100,,
3511,"GRANVILLE","SR-1103","E OF I-85","17-14830",,,,,,10000,,,41082,41082,10000,10,
3510,"38","SR 1130","N OF SR 1129","3801638",2017,359,360,0,365,370,"CB","41078",41078,41078,370,,
3509,"38","SR 1112","N OF NC 56","3801642",2017,4130,4100,0,4204,4200,"CB","41070",41070,41070,4200,,
3508,"38","SR 1112","E OF SR 1239","3809062",2017,2671,2700,0,2719,2700,"CB","41069",41069,41069,2700,,
3507,"38","SR 1239","N OF SR 1174","3809064",2017,4340,4300,0,4417,4400,"CB","41068",41068,41068,4400,,
3506,"38","SR 1215","W OF SR 1127","3801640",2017,5577,5600,0,5676,5700,"CB","41066",41066,41066,5700,,
3505,"38","SR 1004","S OF SR 1132","3809054",2017,3399,3400,0,3460,3500,"CB","41063",41063,41063,3500,,
3504,"67","SR 1137","S OF SR 1146","6703451",2017,362,360,0,368,370,"GF","41060",41060,41060,370,,
3503,"67","SR 1125","E OF SR 1114","6703410",2017,207,210,0,211,210,"GF","41059",41059,41059,210,,
3502,"67","SR 1126","N OF SR 1006","6701596",2017,723,720,0,736,740,"GF","41057",41057,41057,740,,
3501,"67","SR 1125","S OF SR 1120","6701594",2017,780,780,0,794,790,"GF","41055",41055,41055,790,,
3500,"67","SR 1335","W OF NC 86","6703419",2017,746,750,0,759,760,"GF","41051",41051,41051,760,,
3499,"67","SR 1332","W OF SR 1334","6703428",2017,766,770,0,780,780,"GF","41050",41050,41050,780,,
3498,"67","SR 1004","N OF SR 1306","6701557",2017,4120,4100,0,4193,4200,"CB","41048",41048,41048,4200,,
3497,"67","SR 1343","S OF SR 1004","6701547",2017,911,910,0,927,930,"GF","41047",41047,41047,930,,
3496,"31","SR 1607","N OF SR 1616","3101506",2017,1305,1300,0,1328,1300,"CB","41035",41035,41035,1300,,
